name,rest_type
Cafe P Square,Quick Bites
New Udupi Upahara,Quick Bites
BS Kolkatta Chats,Quick Bites
Jwala Indian & Chinese Fast Food,Quick Bites
Taste Of Andhra,Quick Bites
Chetty's Coffee,Quick Bites
Curries & Chillies,Quick Bites
Sri Krishna Bhavan,Quick Bites
Paper Cup Cafe,Quick Bites
Parantha Singh,Quick Bites
Crunchees Cafeteria,Quick Bites
Juba Cafe,Quick Bites
Cafe Qissa,Quick Bites
Meat Up Barbecue & More,Quick Bites
Goli Vada Pav No. 1,Quick Bites
Chaitra Restaurant,Quick Bites
Paranthas and Dosas,Quick Bites
Chickpet Donne Biriyani Mane,Quick Bites
SS Bucket Biryani,Casual Dining
Nandhana Palace,Casual Dining
Nandhana Palace,Bar
Mamaji's,Casual Dining
Onesta,Casual Dining
Onesta,Cafe
Connie's Restaurant & Steakhouse,Casual Dining
Raidan Restaurant,Casual Dining
Giselle Resto Cafe,Cafe
OKI,Casual Dining
FireHouse - Bar & Kitchen,Pub
Angaar Indian Grill & Restaurant,Casual Dining
Mahadii's,Casual Dining
Arirang Korean Restaurant,Casual Dining
Thalassery Restaurant,Casual Dining
Coffee Mechanics,Cafe
Sangam Mess,Mess
Delicious Momos,Casual Dining
Abhiruchi,Casual Dining
The Mangalorean,Casual Dining
Kannur Restaurant,Quick Bites
Vanas,Casual Dining
Aqni,Casual Dining
Savoury Restaurant,Casual Dining
Churrascaria Brazil,Casual Dining
New Peking,Casual Dining
Empire Restaurant,Casual Dining
Al-Badia Restaurant,Casual Dining
Zyara,Casual Dining
Hyderabad Biryaani Palace,Casual Dining
Yuan Restaurant,Casual Dining
Cafe Thulp,Cafe
Yomama!!,Cafe
Samovar,Casual Dining
Regency Park,Casual Dining
Have More,Casual Dining
Twins,Casual Dining
Twins,Bar
Food Star,Casual Dining
Raanthal,Casual Dining
Moghul's Restaurant,Casual Dining
Rahhams,Casual Dining
Sumac Resto Cafe,Cafe
New Krishna Sagar,Casual Dining
Al Amal Cafe,Cafe
Al Amal Cafe,Quick Bites
Asia In A Box,Casual Dining
Paaramparya Restaurant,Casual Dining
18+ Ice Cafe,Cafe
Bhajanka's Restaurant,Casual Dining
Wild Range Restaurant,Casual Dining
Lemlei Cafe,Cafe
Maddy's Cafe,Cafe
New Hilal Restaurant,Casual Dining
Sree Gajanana Juice Centre,Beverage Shop
Al-Arabi Restaurant,Casual Dining
Zu's Doner Kebaps,Dine-out
SHAIK's DYNASTY,Casual Dining
Kenriy The Restro,Casual Dining
Hayaat,Casual Dining
Bite and Pipes,Casual Dining
Panda Boy,Casual Dining
H3O,Bar
Ocean's Delight,Casual Dining
Sukh Sagar,Casual Dining
White Oak Cafe,Cafe
Davis Bar And Restaurant,Bar
Al Amanah Cafe,Quick Bites
Kaapikada,Quick Bites
Big Chicken,Quick Bites
Shanghai Times,Quick Bites
Huko Mukho Hangla,Quick Bites
Burger King,Quick Bites
Home Food,Quick Bites
Chickpet Donne Biryani House,Quick Bites
Brindavan Veg,Quick Bites
Mangalore Lunch Home,Quick Bites
Food Box,Quick Bites
Sidra Eatery,Quick Bites
Just Shawarma,Quick Bites
Eatapita,Quick Bites
KFC,Quick Bites
Fish Chain,Quick Bites
Momoz,Quick Bites
Navarang Fast Food,Quick Bites
Gold Line Breadz,Bakery
Gold Line Breadz,Quick Bites
Zabi,Quick Bites
Upahara Mandira,Quick Bites
Anu Momos Chinese Kitchen,Quick Bites
Bisi Thindi,Quick Bites
Chaithra Restaurant,Quick Bites
Faasos,Quick Bites
Jingo BBQ & Burgers,Quick Bites
JS Food Court,Quick Bites
Fatty Chang,Quick Bites
Pathaan Sir,Quick Bites
Cafe Beirut,Quick Bites
The Rennan's Cafe,Quick Bites
Shawarma King Restaurant,Quick Bites
Sotang's,Quick Bites
Coorg Lunch Home,Quick Bites
NTR Cafe,Quick Bites
Le Roll Cafe,Quick Bites
Mizo Dawr,Quick Bites
Wood Fire Pizza,Quick Bites
Koobi Veg & Non-Veg,Quick Bites
Bismillah Kabab Center,Quick Bites
Krussh,Quick Bites
Naidu Military Hotel,Quick Bites
Hotel Sagar,Quick Bites
Cafe Sulaimani,Quick Bites
Chubalas Curry And Rice,Quick Bites
Best B Restaurant,Quick Bites
Banarasi Chat Centre,Quick Bites
Mazedaar,Quick Bites
New Kairali Restaurant,Quick Bites
Ice Berg,Quick Bites
Sree Gajanana Fruit Juice Centre,Quick Bites
Sidekicks,Quick Bites
Doner Bel,Quick Bites
CutePorkie,Quick Bites
Sannidhi Grand,Quick Bites
McDonald's,Quick Bites
Calicut Restaurant,Quick Bites
Chetty's Corner,Quick Bites
Sri Sagar,Quick Bites
Naina Nand Food Express,Quick Bites
Sri Durga Nellore Mess,Mess
Suvarna Sree Food Paradise,Quick Bites
Tamarind - Tamarind Hospitality,Casual Dining
Sri Ruchi Restuarant,Casual Dining
The Filter Coffee,Mess
Avista Cafe Pizzeria,Cafe
The Bridge Walk Cafe,Cafe
Pecos Mojo,Pub
Saffron Vegetarian Cuisine,Casual Dining
Global Flavors,Casual Dining
Purvanchal Tokri,Casual Dining
The Story Wall Bistro,Casual Dining
Biriyani House,Casual Dining
Teapoy Mutiny,Cafe
Patio - The Resto Cafe,Cafe
Patio - The Resto Cafe,Quick Bites
Sufi Restaurant & Cafe,Casual Dining
Bhagini,Casual Dining
Donne Biriyani Mane,Quick Bites
Sanky's Burger House,Quick Bites
Al-Noor Restaurant,Quick Bites
Taste Of Nawaabs,Casual Dining
Srinathjis,Casual Dining
Srinathjis,Cafe
Lil Asia,Casual Dining
Le Spice Restaurant,Casual Dining
The Bawarchi,Casual Dining
Al-Baik Tandoori Restaurant,Quick Bites
Pooja Dosa Camp,Quick Bites
Chinnu's Mane Biryani,Quick Bites
New Shanthi Sagar,Casual Dining
Despiwich Dragon's Kitchen,Quick Bites
Nandhini,Casual Dining
Nandhini,Bar
Sri Banashankari Donne Biriyani,Quick Bites
Ambujam's Chettinad Mess,Quick Bites
Ambujam's Chettinad Mess,Mess
Al Barack Cafetaria,Quick Bites
Mayonaise,Cafe
Adukkala Restaurant,Casual Dining
De Grand,Casual Dining
Sizzling Szechuan,Casual Dining
ILA Kitchen,Casual Dining
Inchara Restaurant,Casual Dining
Srinidhi Upachar,Quick Bites
Momma's Pastries Fine Bakery And Cafe,Bakery
New Salem Spices,Casual Dining
Gowdru Hotel,Quick Bites
Cafe Get Hooked,Cafe
Hennuru Cafe & Restaurant,Quick Bites
My Little China,Quick Bites
Coffee Thindi,Quick Bites
Chintu Chit Chat Centre,Quick Bites
Amigos Kitchen,Quick Bites
The Sky Lounge - Tamarind Hospitality,Bar
Noodles,Casual Dining
Kanti Sweets,Quick Bites
29 Degrees North,Quick Bites
Shiva's Naram Garam,Quick Bites
Dharani Foods,Casual Dining
Sri Guru Vaibhava Veg,Quick Bites
SV Indian Restaurant,Quick Bites
Hotel Zam Zam,Quick Bites
Degchi Restaurant,Casual Dining
Hotel New Karavali,Casual Dining
Hotel New Karavali,Bar
Spice Corner,Casual Dining
7 to 11 Food Court,Quick Bites
Orchid Wine And Dine,Casual Dining
New Udupi Park,Casual Dining
Coffee@Arens,Cafe
Taste Of The Nation,Dine-out
Cafe China,Quick Bites
Shake It,Beverage Shop
Udupi Gardenia,Quick Bites
Kartik,Casual Dining
Kartik,Bar
T4U Cafe,Quick Bites
Pizza Stop,Quick Bites
Shammah's,Quick Bites
Just Protein,Food Truck
Curries & Chillies,Quick Bites
T-hut Cafe,Quick Bites
Reddy's Naati Mane,Quick Bites
Udupi Sri Krishna Cafe,Quick Bites
Sri Devi Sagar,Quick Bites
Raghavendra Bhavan,Quick Bites
Rolls On Wheels,Quick Bites
IFun Burgers N More,Quick Bites
The Fresh 'N' Grill,Quick Bites
Sandesh Restaurant,Quick Bites
M.M.A Kabab Rolls & Biriyani Center,Quick Bites
New York Burrito,Quick Bites
Lenny's Kitchen,Quick Bites
Sai Bhavan Veg & Non Veg,Quick Bites
Sri Sagar,Quick Bites
Madurai Idly Dosai Centre,Quick Bites
Urban Bakes & Cafe,Cafe
Raees Restaurant,Casual Dining
Hungry Bite Cafe,Quick Bites
Hotel Gowdru Mane,Quick Bites
ABY?s Kitchen,Quick Bites
Taste The Flame,Quick Bites
Curries & Pickles,Quick Bites
Delish Chinese Fast Food,Quick Bites
Tawa Fresh,Quick Bites
Leela's Kitchen,Quick Bites
Ambur Hot Dum Biryani,Quick Bites
Leung Fast Food,Quick Bites
Delish Chinese Fast Food,Quick Bites
Zam Zam Restaurant,Quick Bites
New Udupi Park Deluxe,Quick Bites
Hotel Hyderabadi,Quick Bites
Ahmad's Chicken Hut,Quick Bites
Mubarak Hotel,Quick Bites
7 Spice,Quick Bites
Panchamukhi Sagar,Quick Bites
Biriyummy,Quick Bites
Chickmate,Quick Bites
Gundappa Donne Biryani Mane,Quick Bites
Papanna's Biriyani,Quick Bites
Bangalore Vibes,Quick Bites
Ranga's Paradise,Quick Bites
Silver Spoon Restaurant,Quick Bites
Vijayalakshmi Veg,Quick Bites
Thalassery Plaza,Quick Bites
Brewklyn Microbrewery,Microbrewery
Brewklyn Microbrewery,Casual Dining
Float Brewery,Microbrewery
Float Brewery,Casual Dining
The Local,Pub
The Local,Casual Dining
Hoppipola,Lounge
Sherlock's Pub,Pub
Sherlock's Pub,Casual Dining
Wanderers,Microbrewery
Wanderers,Casual Dining
Bottoms Up Resto Bar,Bar
Fiddler's Green,Casual Dining
Fiddler's Green,Bar
Agent Jack's Bar,Bar
FireHouse - Bar & Kitchen,Pub
Twins,Casual Dining
Twins,Bar
H3O,Bar
Davis Bar And Restaurant,Bar
Pecos Mojo,Pub
The Sky Lounge - Tamarind Hospitality,Bar
Giselle Resto Cafe,Cafe
Onesta,Casual Dining
Onesta,Cafe
Starbucks,Cafe
Based On A True Story- Bistro,Cafe
Based On A True Story- Bistro,Quick Bites
Cafe Thulp,Cafe
Yomama!!,Cafe
Sumac Resto Cafe,Cafe
Al Amal Cafe,Cafe
Al Amal Cafe,Quick Bites
18+ Ice Cafe,Cafe
Lemlei Cafe,Cafe
Maddy's Cafe,Cafe
Cafe Coffee Day,Cafe
White Oak Cafe,Cafe
Truffles,Cafe
Truffles,Casual Dining
Cafe Azzure,Cafe
The Chocolate Heaven,Dessert Parlor
The Chocolate Heaven,Cafe
Cafe Pink Pajamas,Cafe
The Roastery,Cafe
Coffee Mechanics,Cafe
Artville Cafe,Cafe
Lakeview Milkbar,Dessert Parlor
Lakeview Milkbar,Cafe
Eunoia,Cafe
Eunoia,Bakery
Patio - The Resto Cafe,Cafe
Patio - The Resto Cafe,Quick Bites
An Egg Story,Cafe
RawStraw,Cafe
Mayonaise,Cafe
Draggers Café,Cafe
Maestros Cafe,Takeaway
Srinathjis,Casual Dining
Srinathjis,Cafe
Fragrant Kitchen,Casual Dining
Fragrant Kitchen,Cafe
Brew Bakes Cafe,Cafe
Cafe Nibras,Cafe
Cafe Get Hooked,Cafe
Alter Ego D'Deli,Cafe
The Pipe Rack,Casual Dining
The Sanctuary,Cafe
Rasa Cafe,Cafe
Coffee@Arens,Cafe
Urban Bakes & Cafe,Cafe
T4U Cafe,Quick Bites
Lava Kaffe,Cafe
JamayCafe,Cafe
Cafe Qissa,Quick Bites
Firki Cafe,Casual Dining
Chaai Resto,Cafe
The Bridge Walk Cafe,Cafe
Avista Cafe Pizzeria,Cafe
Sunny Side Bistro,Cafe
Cafe Jezve,Cafe
eat.fit,Delivery
Polar Bear,Dessert Parlor
FreshMenu,Delivery
Paratha Singh,Quick Bites
Cafe 99 Kerala Mess,Quick Bites
Hyderabad Biryani,Casual Dining
Subway,Quick Bites
Leon Grill,Quick Bites
Corner House Ice Cream,Dessert Parlor
Just Shawarma,Quick Bites
Empire Restaurant,Casual Dining
Nihas Hyderabadi Biryani,Quick Bites
Al Amanah Cafe,Quick Bites
Chaat Street,Quick Bites
Vijayalakshmi Veg,Quick Bites
Belgian Waffle Factory,Dessert Parlor
Onesta,Casual Dining
Onesta,Cafe
Sri Banashankari Donne Biriyani,Quick Bites
Fish Chain,Quick Bites
Krispy Kreme,Dessert Parlor
Imperio Restaurant,Casual Dining
The Good Bowl,Takeaway
The Good Bowl,Delivery
Thalassery Restaurant,Casual Dining
Leon's Take Away,Takeaway
Leon's Take Away,Delivery
Ahaan Restaurant,Delivery
Pathaan Sir,Quick Bites
Punjabi Restaurant,Quick Bites
Roll N Roll,Kiosk
Paul's Dum Biryani,Delivery
Delicacy,Casual Dining
Zyara,Casual Dining
Cream Stone,Dessert Parlor
Kijiji - Chal Yaha Khate Hai,Quick Bites
Burger King,Quick Bites
Matru Sagar,Quick Bites
Thalis Of India,Delivery
Al Madina Roll House,Quick Bites
Kitchen King,Quick Bites
KFC,Quick Bites
Warm Oven,Bakery
Warm Oven,Dessert Parlor
New Krishna Sagar,Casual Dining
D-Zaprino,Takeaway
D-Zaprino,Delivery
Sanky's Burger House,Quick Bites
Shawarma King Restaurant,Quick Bites
Ovenstory Pizza,Delivery
Hotel Zam Zam,Quick Bites
Bhavani Restaurant,Casual Dining
Brahmins' Thatte Idli,Quick Bites
De Grand Restaurant,Quick Bites
Chaitra Restaurant,Quick Bites
Donne Biryani Kuteera,Quick Bites
Adukkala Restaurant,Casual Dining
Srinidhi Veg Food Court,Quick Bites
M.M.A Kabab Rolls & Biriyani Center,Quick Bites
Kerala Mess,Mess
Jai Bhavani Dhaba,Dhaba
Kolkata Rolls & Chowmein,Quick Bites
Bombay Sandwich Company,Delivery
Sukh Sagar,Casual Dining
Mangalore Lunch Home,Quick Bites
Sri Sai 99 Variety Dosa,Quick Bites
Kuttanad Restaurant,Quick Bites
Biryani Palace,Casual Dining
Kanti Sweets,Quick Bites
Matsya Loka,Quick Bites
Al-Baik Tandoori Restaurant,Quick Bites
Arabian Shawarma,Kiosk
BOX8- Desi Meals,Takeaway
BOX8- Desi Meals,Delivery
Purnabramha Maharashtrian Restaurant,Casual Dining
Pizza Hut,Casual Dining
Kabab Palace,Quick Bites
Behrouz Biryani,Delivery
Kapoor's Punjabi Rolls,Quick Bites
Hyderabad Biryaani Palace,Casual Dining
Sweet Truth,Delivery
New Kairali Restaurant,Quick Bites
Indiana Burgers,Takeaway
Indiana Burgers,Delivery
Wood Fire Pizza,Quick Bites
Keto Kitchen,Casual Dining
Facebake,Dessert Parlor
Connie's Restaurant & Steakhouse,Casual Dining
Chickpet Donne Biriyani Mane,Quick Bites
Brewklyn Microbrewery,Microbrewery
Brewklyn Microbrewery,Casual Dining
Keventers,Beverage Shop
Keventers,Dessert Parlor
Inchara Restaurant,Casual Dining
WOW! Momo,Quick Bites
Foodies Choice,Takeaway
Foodies Choice,Delivery
Sikori,Quick Bites
Wangs Kitchen,Food Court
Food Box,Quick Bites
Udupi Sri Krishna Cafe,Quick Bites
World In A Bowl,Delivery
Olive Garden,Casual Dining
Pizza Stop,Quick Bites
Cold Smith Ice Creams,Food Court
Sri Sagar,Quick Bites
Thanco's Natural Ice Cream,Dessert Parlor
Hotel Kakatiya,Quick Bites
Big Chicken,Quick Bites
Cafe Pink Pajamas,Cafe
YumYumDilli,Delivery
Pasta Factory,Casual Dining
Firangi Bake,Delivery
Chickpet Donne Biriyani Mane,Quick Bites
Goli Vada Pav No. 1,Quick Bites
JS Food Court,Quick Bites
Crunch Pizzas,Quick Bites
Aroma's Hyderabad House,Casual Dining
Nalukettu,Delivery
Healthie,Delivery
Anu Momos Chinese Kitchen,Quick Bites
Currylicious,Quick Bites
Roll Over,Dessert Parlor
Domino's Pizza,Quick Bites
Doctor Juice,Beverage Shop
The London Shakes,Beverage Shop
Taste Of Nawaabs,Casual Dining
Marwari Basa,Quick Bites
Chichaba's Taj,Casual Dining
Home Food,Quick Bites
Faasos,Quick Bites
SS Bucket Biryani,Casual Dining
One For The Road,Bar
Ibaco,Dessert Parlor
Savoury Restaurant,Casual Dining
Five Star Chicken,Quick Bites
Biryani Hub,Quick Bites
Jai Mataji Farshan & Sweets,Sweet Shop
Jai Mataji Farshan & Sweets,Quick Bites
Nadeem's Kitchen,Takeaway
Nadeem's Kitchen,Delivery
YumYumSouth,Delivery
Avista Cafe Pizzeria,Cafe
Shanti Sweets,Sweet Shop
Shanti Sweets,Quick Bites
Upahara Mandira,Quick Bites
Wok N Roll,Quick Bites
Despiwich Dragon's Kitchen,Quick Bites
Alter Ego D'Deli,Cafe
The Feast Fries,Quick Bites
Mani's Dum Biryani,Casual Dining
InnerChef,Delivery
Samovar,Casual Dining
OKI,Casual Dining
Cafe Coffee Day,Cafe
Foreign Café,Delivery
Jingo BBQ & Burgers,Quick Bites
Zabi,Quick Bites
Sri Ruchi Restuarant,Casual Dining
Sweet Moments Express,Sweet Shop
Sweet Moments Express,Quick Bites
The Chocolate Heaven - Cakes,Dessert Parlor
The Chocolate Heaven - Cakes,Bakery
Food Magic Restaurant,Quick Bites
Juice Fresco,Beverage Shop
INDULGE by InnerChef,Bakery
Andhra Spicy Inn,Quick Bites
Casa De Goa,Casual Dining
Casa De Goa,Pub
Crunch Pizzas,Quick Bites
Akshaya Family Restaurant,Quick Bites
Chaai Resto,Cafe
The Belgian Waffle Co.,Dessert Parlor
Purvanchal Tokri,Casual Dining
Chetty's Corner,Quick Bites
Cupcake Bliss,Takeaway
Cupcake Bliss,Delivery
Chef Baker's,Bakery
AutoExpress - Hot Dogs,Takeaway
AutoExpress - Hot Dogs,Delivery
Marhaba,Casual Dining
Cafe Bangalore,Takeaway
Cafe Bangalore,Delivery
Wild Range Restaurant,Casual Dining
Rahhams,Casual Dining
Frozen Bottle,Beverage Shop
Eagles Pizza,Quick Bites
S K Ruchi,Quick Bites
The Local,Pub
The Local,Casual Dining
The Chocolate Heaven,Dessert Parlor
The Chocolate Heaven,Cafe
Sheesh Kebab,Casual Dining
Teapoy Mutiny,Cafe
American Bites,Quick Bites
4 Seasons Restaurant,Casual Dining
Punjabi Chulha,Quick Bites
Noodles,Casual Dining
RICE BAR,Delivery
Amigos Kitchen,Quick Bites
Twilight Global Restaurant,Quick Bites
XO Belgian Waffle,Dessert Parlor
Brindavan Veg,Quick Bites
Chubalas Curry And Rice,Quick Bites
US Pizza,Quick Bites
Shahi Hyderabadi Dum Biryani,Casual Dining
Cream & Fudge,Dessert Parlor
Cafe Nukkad,Quick Bites
Sizzling Szechuan,Casual Dining
Mamaji's,Casual Dining
The Milkshake Theory,Beverage Shop
Yomama!!,Cafe
Kolkata Famous Kati Roll,Quick Bites
Bisi Thindi,Quick Bites
The Coorg Food Co.,Casual Dining
PurpleBasil.in,Takeaway
PurpleBasil.in,Delivery
Hotel New Karavali,Casual Dining
Hotel New Karavali,Bar
Breezy Cow Bar,Beverage Shop
Calicut Restaurant,Quick Bites
Snow'ora,Dessert Parlor
A2B - Adyar Ananda Bhavan,Casual Dining
Manasa Fishland,Casual Dining
Navarang Fast Food,Quick Bites
The Blue Bawarchi,Quick Bites
Lassi Corner,Beverage Shop
Maraheb Restaurant,Casual Dining
Thalassery Plaza,Quick Bites
Hungry Vihaari,Casual Dining
Giselle Resto Cafe,Cafe
Shanti Sweets,Sweet Shop
Supreme Biryani,Delivery
Soham Bombay Masti Magic,Quick Bites
Suvarna Sree Food Paradise,Quick Bites
Coffee Mechanics,Cafe
Tandoor Bhatti,Quick Bites
Kadai Restaurant,Quick Bites
McDonald's,Quick Bites
Hotel Little Imperial,Casual Dining
Paaramparya Restaurant,Casual Dining
Khyma Biryani,Casual Dining
Ammi's Biryani,Casual Dining
Kloudish Kitchen,Delivery
Sannidhi Grand,Quick Bites
Serranos Mexican Grill,Quick Bites
Khan Saheb Grills and Rolls,Takeaway
Khan Saheb Grills and Rolls,Delivery
Sherlock's Pub,Pub
Sherlock's Pub,Casual Dining
Oye Hoye,Quick Bites
Mahadii's,Casual Dining
My Little China,Quick Bites
Sarah's,Takeaway
Sarah's,Delivery
The Filter Coffee,Mess
Food Time Now,Takeaway
Food Time Now,Delivery
Chaatimes,Quick Bites
Regency Park,Casual Dining
Kaapikada,Quick Bites
Raidan Restaurant,Casual Dining
Kiko,Takeaway
Kiko,Delivery
Desi Grill,Quick Bites
Cafe Idly,Quick Bites
Bhagini,Casual Dining
Tamarind - Tamarind Hospitality,Casual Dining
Aqni,Casual Dining
T-hut Cafe,Quick Bites
Vijaya Gardenia,Casual Dining
Gelato Italiano,Dessert Parlor
Gelato Italiano,Bakery
FireHouse - Bar & Kitchen,Pub
Srinathjis,Casual Dining
Srinathjis,Cafe
Ranga's Paradise,Quick Bites
Punjab Bistro,Casual Dining
Foodie's Affair,Quick Bites
Talk of the Town,Bakery
Le Spice Restaurant,Casual Dining
Masale Daan,Delivery
Chikpet Donne Biriyani Corner,Quick Bites
Cafezone,Quick Bites
American Desserts,Takeaway
American Desserts,Delivery
Happy Belly Bakes,Bakery
Happy Belly Bakes,Cafe
Special Hot Roll No.1,Delivery
NTR Cafe,Quick Bites
Kettle & Kegs,Delivery
Momma's Pastries Fine Bakery And Cafe,Bakery
New Biriyani Darbar,Casual Dining
Jambudweepa Juice Bar,Beverage Shop
Patio - The Resto Cafe,Cafe
Patio - The Resto Cafe,Quick Bites
Hongkong Noodles,Casual Dining
Smoke - The Sizzler House,Food Court
Indira Darshini,Quick Bites
UBQ By Barbeque Nation,Delivery
Mystery House,Quick Bites
Nandhini,Casual Dining
Nandhini,Bar
North Se South Veg & Non-Veg Restaurants,Quick Bites
Vijayalaxmi Veg,Quick Bites
Juice Fresco,Beverage Shop
Mummy's Kitchen,Takeaway
Mummy's Kitchen,Delivery
Sangam Mess,Mess
Swad,Quick Bites
Meghana Biriyanis,Quick Bites
Draggers Café,Cafe
Meat And Eat,Quick Bites
Countryside - The Taste of Chettinad,Casual Dining
Sweet Chariot,Dessert Parlor
New Punjabi Veg Restaurant,Quick Bites
Delicious Momos,Casual Dining
New Kadai,Casual Dining
Siri Jai Bhavani Mess,Mess
Paradox Rest-O-Cafe,Casual Dining
Global Flavors,Casual Dining
Sufi Restaurant & Cafe,Casual Dining
Sreeraj Lassi Bar,Dessert Parlor
Sreeraj Lassi Bar,Beverage Shop
Ambujam's Chettinad Mess,Quick Bites
Ambujam's Chettinad Mess,Mess
Kannur Restaurant,Quick Bites
Hotel The Shack,Casual Dining
Andhra Biryanis,Casual Dining
Baskin Robbins,Dessert Parlor
Dr. Harry's Chick Blast,Quick Bites
Berakah,Casual Dining
Tamarind,Casual Dining
Altaf's Chillies Restaurant,Casual Dining
SV Indian Restaurant,Quick Bites
Sri Durga Nellore Mess,Mess
Sultan's Biryani,Delivery
Al Ameen Rolls Corner,Quick Bites
Bubbles,Cafe
2 Statez,Casual Dining
Brew Bakes Cafe,Cafe
Coffee@Arens,Cafe
The Urban Roof,Casual Dining
Cafe P Square,Quick Bites
Mojo Pizza - 2X Toppings,Delivery
The Fresh 'N' Grill,Quick Bites
Pizza Baker's,Quick Bites
The Juice Shop - Juicery And Kitchen,Quick Bites
Anand Sweets and Savouries,Quick Bites
Based On A True Story- Bistro,Cafe
Based On A True Story- Bistro,Quick Bites
7 Plates,Casual Dining
29 Degrees North,Quick Bites
Eat Well,Takeaway
Eat Well,Delivery
Naina Nand Food Express,Quick Bites
Sandesh Restaurant,Quick Bites
Biriyani House,Casual Dining
Have More,Casual Dining
Gold Line Breadz,Bakery
Gold Line Breadz,Quick Bites
Nandhana Palace,Casual Dining
Nandhana Palace,Bar
Marakachi,Casual Dining
North Indian Bhukkads,Quick Bites
Balle Balle Dhaba,Quick Bites
Penta Cafe,Quick Bites
Food Star,Casual Dining
Shandong,Casual Dining
Chickpet Donne Biryani House,Quick Bites
Zamindars Biryani Durbar,Casual Dining
Chaithra Restaurant,Quick Bites
Le Roll Cafe,Quick Bites
Al Amal Cafe,Cafe
Al Amal Cafe,Quick Bites
Gundappa Donne Biryani Mane,Quick Bites
Mainland China,Casual Dining
Just Bake,Bakery
Sidra Eatery,Quick Bites
Spice Corner,Casual Dining
Momoz,Quick Bites
Momo Time,Takeaway
Momo Time,Delivery
Twins,Casual Dining
Twins,Bar
New Shanthi Sagar,Quick Bites
RawStraw,Cafe
The Mangalorean,Casual Dining
Cafe Get Hooked,Cafe
18+ Ice Cafe,Cafe
Cafe Beirut,Quick Bites
Eat At Nite,Takeaway
Eat At Nite,Delivery
Beijing Bites,Casual Dining
Shanghai Times,Quick Bites
BIB - Breakfast in the Box,Delivery
Sunny Side Bistro,Cafe
Hi Seoul,Casual Dining
Biriyani Nights,Takeaway
Biriyani Nights,Delivery
Desi Bites,Casual Dining
Vera Italiano,Casual Dining
Wokanaka - The Casual Chinese Pitstop,Casual Dining
Gowdru Hotel,Quick Bites
Swagatham Delux - Rayalaseema Spices,Casual Dining
Coorg Lunch Home,Quick Bites
Sanju's Super Kitchen,Delivery
Chung Wah,Casual Dining
Night Food Joint,Quick Bites
Sanju's Super Kitchen,Quick Bites
Aroma Spice,Casual Dining
Kenny's Restaurant,Quick Bites
The Bawarchi,Casual Dining
Abhiruchi,Casual Dining
Chung's Chinese Corner,Casual Dining
Vanas,Casual Dining
Lassi Shop,Beverage Shop
Spice Kitchen,Casual Dining
Little Italy,Casual Dining
Donne Biriyani Mane,Quick Bites
Cafe Thulp,Cafe
Rasa Cafe,Cafe
New Hilal Restaurant,Casual Dining
Koobi Veg & Non-Veg,Quick Bites
Krussh,Quick Bites
Huko Mukho Hangla,Quick Bites
Kanthari,Quick Bites
Cafe Sulaimani,Quick Bites
Yuan Restaurant,Casual Dining
The Red Lantern,Casual Dining
SHAIK's DYNASTY,Casual Dining
Dilli Highway,Delivery
Kenriy The Restro,Casual Dining
Sprinkled,Takeaway
Sprinkled,Delivery
Hayaat,Casual Dining
Pig Out,Quick Bites
Naidoo's Donne Biryani,Takeaway
Naidoo's Donne Biryani,Delivery
Saffron Vegetarian Cuisine,Casual Dining
Udupi Gardenia,Quick Bites
Ocean's Delight,Casual Dining
Sidekicks,Quick Bites
Doner Bel,Quick Bites
Shanghai Xpress,Quick Bites
New Peking,Casual Dining
Chulha Chauki Da Dhaba,Casual Dining
Taste of Bihar,Takeaway
Taste of Bihar,Delivery
Pizbur Trap,Takeaway
Pizbur Trap,Delivery
DinePost9,Delivery
CutePorkie,Quick Bites
Zaica Dine & Wine,Casual Dining
Zu's Doner Kebaps,Delivery
China Pearl,Casual Dining
Biryani Bar,Delivery
Bangalore Vibes,Quick Bites
Punjabi Tadka,Quick Bites
Urban Kitchen,Delivery
Art of Biryani & Curries,Delivery
Asia In A Box,Casual Dining
Didi's Kitchen,Delivery
Silver Spoon Restaurant,Quick Bites
Teburu,Casual Dining
Manjit Da Dhaba,Quick Bites
Cafe China,Quick Bites
Davis Bar And Restaurant,Bar
Maddy's Cafe,Cafe
Curries & Chillies,Quick Bites
Marathi Biriyani House,Quick Bites
Lenny's Kitchen,Quick Bites
The Chef's Kitchen,Casual Dining
Sigree Global Grill,Casual Dining
Sigree Global Grill,Bar
Jumping Beans,Cafe
Chinnu's Mane Biryani,Quick Bites
Kapoor's Cafe,Casual Dining
Donne Biriyani Mane,Quick Bites
Aioli,Casual Dining
Patisserie Nitash,Bakery
My China,Casual Dining
Papanna's Biriyani,Quick Bites
Pretty Baked,Takeaway
Pretty Baked,Delivery
Curries & Pickles,Quick Bites
Leia Soul Food,Bakery
Mini Fast Food,Quick Bites
Sri Datta Biryani House,Quick Bites
Belly Deli,Delivery
Curries & Chillies,Quick Bites
Panda Boy,Casual Dining
Midnight Food Point,Delivery
Samprith Gowdru Mudde Hotel,Quick Bites
Bada Bing Burgers,Delivery
New York Burrito,Quick Bites
Delhiz Taste,Quick Bites
The Grill House,Casual Dining
7 to 11 Food Court,Quick Bites
Namak,Quick Bites
The Filter Coffee,Quick Bites
Bottoms Up Resto Bar,Bar
