name,rest_type
Udupi Ruchi Grand,Quick Bites
De Thaali,Casual Dining
Spice Elephant,Casual Dining
Just Thindi,Quick Bites
Matru Sagar,Quick Bites
Vasanth Vihar - Since 1965,Quick Bites
Sea Spice by 7 Star,Casual Dining
Desi Dawat,Quick Bites
Cafe Aira,Cafe
Penthouse Cafe,Cafe
Mast Punjabi,Quick Bites
South Grand,Casual Dining
Catch-up-ino,Cafe
The Pizzeria,Casual Dining
Cafe Zone,Quick Bites
Ruchis Point,Quick Bites
Firangi Bake,Delivery
The Royal Corner - Pai Viceroy,Casual Dining
Hara Fine Dine,Casual Dining
Chocoberry,Dessert Parlor
Dakshin Grand,Quick Bites
Sandwichwallas,Quick Bites
Chai Mane,Quick Bites
SLV Upachar,Quick Bites
Waffle-A-Go Go,Dessert Parlor
Cross Road Cafe,Cafe
Anand Donne Biriyani,Quick Bites
Seven Star,Quick Bites
Stop 'N' Joy,Quick Bites
Sri Yaksha Shiv Sagar,Casual Dining
Fudge,Dessert Parlor
Just Bunny,Quick Bites
Bakers Town,Cafe
Shree Mahalakshmi Sweets,Sweet Shop
Kaapi Kendra,Quick Bites
Ivy,Casual Dining
The Airos,Cafe
Chai Kraft,Beverage Shop
Kirthi's Biryani,Cafe
South Point Pub,Bar
The Trundle,Casual Dining
The Krishna Grand Xpress,Quick Bites
Sri Krishna Darshini,Quick Bites
Shringar Sweets & Snacks,Sweet Shop
Shringar Sweets & Snacks,Quick Bites
Udupi Grand,Quick Bites
Ganesh Grand,Quick Bites
Shreyas Upahar & Burger Point,Quick Bites
Coffee Tindi,Cafe
Coffee Tindi,Quick Bites
Little Cafe,Cafe
Mumbai Badam Milk & Lassi Center,Kiosk
Sri Krishna Sagar,Casual Dining
Mylari Biryani Family Restaurant,Quick Bites
1980s Games Cafe,Cafe
Kadala Tarangaa,Casual Dining
Namma Biryani,Quick Bites
Nandhanu's Rasoi,Quick Bites
Hotel Pork Paradise,Quick Bites
As On Fire,Food Truck
J K Fish Land,Quick Bites
Curry Leaves,Casual Dining
Lassi Shop,Beverage Shop
Magic Meals,Quick Bites
Magic Meals,Dessert Parlor
Desi Cream Junction,Casual Dining
