name,cuisines
Gufha - The President Hotel,Mughlai
Cafe Vivacity,Cafe
Tanna's Kitchen,Italian
Tanna's Kitchen,Chinese
Tanna's Kitchen,Street Food
Shree Mandarathi Grand,South Indian
Shree Mandarathi Grand,North Indian
Mojo Pizza - 2X Toppings,Pizza
Iceberg Icecreams,Desserts
Iceberg Icecreams,Ice Cream
South Kitchen,South Indian
Chung Wah,Chinese
Chung Wah,Thai
Chung Wah,Momos
Shanthi Sagar,South Indian
Shanthi Sagar,North Indian
Shanthi Sagar,Chinese
Millet Mama,South Indian
Millet Mama,Healthy Food
Bangarpet Chat Express,Street Food
Bangarpet Chat Express,Fast Food
Prems Graama Bhojanam,South Indian
Java City,Cafe
Java City,American
Java City,Pizza
Kamat Bugle Rock,South Indian
Kamat Bugle Rock,Fast Food
Woodee Pizza,Cafe
Woodee Pizza,Pizza
Woodee Pizza,Fast Food
Woodee Pizza,Beverages
Puliyogare Point,South Indian
Bangalore Agarwal Bhavan,Street Food
Bangalore Agarwal Bhavan,North Indian
Bangalore Agarwal Bhavan,South Indian
Rustic Stove,North Indian
Rustic Stove,South Indian
Rustic Stove,Biryani
Rustic Stove,Beverages
Udupi Ruchi Grand,South Indian
Udupi Ruchi Grand,North Indian
Udupi Ruchi Grand,Chinese
Udupi Ruchi Grand,Street Food
De Thaali,North Indian
De Thaali,Chinese
De Thaali,Rolls
Spice Elephant,Chinese
Spice Elephant,North Indian
Spice Elephant,Thai
Just Thindi,South Indian
Matru Sagar,South Indian
Matru Sagar,North Indian
Matru Sagar,Chinese
Vasanth Vihar - Since 1965,South Indian
Vasanth Vihar - Since 1965,Street Food
Sea Spice by 7 Star,Seafood
Sea Spice by 7 Star,Biryani
Sea Spice by 7 Star,Beverages
Sea Spice by 7 Star,South Indian
Sea Spice by 7 Star,North Indian
Sea Spice by 7 Star,Kebab
Desi Dawat,North Indian
Desi Dawat,Fast Food
Cafe Aira,Cafe
Cafe Aira,Continental
Cafe Aira,Beverages
Cafe Aira,Desserts
Penthouse Cafe,Cafe
Penthouse Cafe,Italian
Penthouse Cafe,Continental
Mast Punjabi,North Indian
Mast Punjabi,Chinese
Mast Punjabi,Rolls
Mast Punjabi,Biryani
Mast Punjabi,Kebab
South Grand,South Indian
South Grand,North Indian
South Grand,Chinese
South Grand,Beverages
Catch-up-ino,Cafe
Catch-up-ino,Fast Food
Catch-up-ino,Continental
Catch-up-ino,Chinese
Catch-up-ino,Momos
The Pizzeria,Pizza
The Pizzeria,Italian
The Pizzeria,Salad
Cafe Zone,Fast Food
Cafe Zone,Chinese
Cafe Zone,Rolls
Ruchis Point,Fast Food
Ruchis Point,Chinese
Firangi Bake,Mexican
Firangi Bake,Italian
The Royal Corner - Pai Viceroy,North Indian
The Royal Corner - Pai Viceroy,Chinese
Hara Fine Dine,North Indian
Hara Fine Dine,Chinese
Chocoberry,Ice Cream
Chocoberry,Desserts
Chocoberry,Beverages
Dakshin Grand,South Indian
Dakshin Grand,North Indian
Dakshin Grand,Chinese
Dakshin Grand,Street Food
Sandwichwallas,Fast Food
Chai Mane,Juices
Chai Mane,Fast Food
SLV Upachar,South Indian
SLV Upachar,Chinese
SLV Upachar,Street Food
Waffle-A-Go Go,Fast Food
Waffle-A-Go Go,Desserts
Waffle-A-Go Go,Ice Cream
Cross Road Cafe,Cafe
Cross Road Cafe,Fast Food
Cross Road Cafe,Chinese
Anand Donne Biriyani,Biryani
Seven Star,North Indian
Seven Star,Chinese
Stop 'N' Joy,Fast Food
Sri Yaksha Shiv Sagar,North Indian
Sri Yaksha Shiv Sagar,Chinese
Fudge,Desserts
Fudge,Momos
Just Bunny,Fast Food
Bakers Town,Cafe
Bakers Town,Continental
Bakers Town,Fast Food
Shree Mahalakshmi Sweets,Mithai
Shree Mahalakshmi Sweets,Street Food
Kaapi Kendra,South Indian
Ivy,North Indian
Ivy,Chinese
Ivy,Fast Food
The Airos,Cafe
The Airos,Italian
The Airos,Pizza
Chai Kraft,Beverages
Chai Kraft,Tea
Kirthi's Biryani,Chinese
Kirthi's Biryani,Cafe
Kirthi's Biryani,Italian
South Point Pub,North Indian
South Point Pub,Seafood
South Point Pub,Chinese
The Trundle,Chinese
The Trundle,Thai
The Trundle,Continental
The Trundle,North Indian
The Krishna Grand Xpress,South Indian
The Krishna Grand Xpress,Fast Food
Sri Krishna Darshini,South Indian
Sri Krishna Darshini,North Indian
Sri Krishna Darshini,Chinese
Shringar Sweets & Snacks,Mithai
Shringar Sweets & Snacks,South Indian
Shringar Sweets & Snacks,Street Food
Shringar Sweets & Snacks,Fast Food
Udupi Grand,South Indian
Udupi Grand,North Indian
Udupi Grand,Chinese
Ganesh Grand,South Indian
Ganesh Grand,North Indian
Ganesh Grand,Desserts
Shreyas Upahar & Burger Point,South Indian
Shreyas Upahar & Burger Point,Burger
Coffee Tindi,Cafe
Coffee Tindi,South Indian
Little Cafe,Cafe
Little Cafe,Beverages
Mumbai Badam Milk & Lassi Center,Beverages
Mumbai Badam Milk & Lassi Center,Desserts
Sri Krishna Sagar,North Indian
Sri Krishna Sagar,Chinese
Mylari Biryani Family Restaurant,Biryani
Mylari Biryani Family Restaurant,Fast Food
1980s Games Cafe,Cafe
1980s Games Cafe,Fast Food
Kadala Tarangaa,Mangalorean
Kadala Tarangaa,Seafood
Kadala Tarangaa,North Indian
Namma Biryani,Biryani
Namma Biryani,Chinese
Namma Biryani,North Indian
Nandhanu's Rasoi,Chinese
Nandhanu's Rasoi,North Indian
Hotel Pork Paradise,South Indian
As On Fire,Pizza
As On Fire,Fast Food
As On Fire,BBQ
J K Fish Land,Seafood
J K Fish Land,Mangalorean
Curry Leaves,Andhra
Curry Leaves,North Indian
